  x      sigx     y      sigy  
-9.9944 0.0892 -9.8042 0.0241 
-10.0557 0.0887 -9.8526 0.0237 
-10.1210 0.0865 -9.9021 0.0239 
-10.1688 0.0853 -9.9415 0.0238 
-10.2209 0.0839 -9.9748 0.0246 
-10.2752 0.0833 -10.0060 0.0282 
-10.3283 0.0835 -10.0563 0.0287 
-10.3771 0.0837 -10.0865 0.0285 
-10.4797 0.1066 -10.2584 0.1494 
-10.4854 0.1042 -10.2419 0.1415 
-10.5500 0.1012 -10.2813 0.1386 
-10.6087 0.0995 -10.3060 0.1393 
-10.6725 0.0972 -10.3154 0.1392 
-10.7813 0.0930 -10.3387 0.1360 
-10.8610 0.0893 -10.3457 0.1368 
-10.9184 0.0836 -10.3596 0.1358 
-10.9799 0.0804 -10.4289 0.1357 
-11.0424 0.0782 -10.4838 0.1354 
-11.1052 0.0766 -10.5179 0.1350 
-11.1560 0.0743 -10.5881 0.1352 
-11.1925 0.0724 -10.6133 0.1360 
-11.2321 0.0708 -10.6401 0.1350 
-11.2707 0.0698 -10.6541 0.1352 
-11.3055 0.0692 -10.6751 0.1347 
-11.3437 0.0688 -10.6757 0.1351 
-11.3801 0.0686 -10.6629 0.1361 
-11.4046 0.0681 -10.6857 0.1368 
-11.4510 0.0682 -10.6969 0.1371 
-11.4922 0.0682 -10.6852 0.1378 
-11.5493 0.0685 -10.6970 0.1375 
-11.5822 0.0684 -10.7379 0.1377 
-11.6156 0.0683 -10.7643 0.1378 
-11.6568 0.0685 -10.7798 0.1381 
-11.6968 0.0686 -10.7804 0.1370 
-11.7452 0.0690 -10.7887 0.1366 
-11.7555 0.0686 -10.7947 0.1367 
-11.7851 0.0685 -10.8099 0.1359 
-11.8151 0.0686 -10.8229 0.1355 
-11.8069 0.0680 -10.8137 0.1356 
-11.7519 0.0680 -10.8185 0.1352 
-11.7520 0.0683 -10.8473 0.1348 
-11.7177 0.0693 -10.8526 0.1349 
-11.6819 0.0705 -10.8485 0.1347 
-9.8800 0.1088 -9.8733 0.1200 
-10.0440 0.1092 -9.8707 0.1134 
-10.1241 0.1094 -9.8098 0.1175 
-10.1733 0.1096 -9.8693 0.1157 
-10.2332 0.1088 -9.9666 0.1278 
-10.2909 0.1078 -9.9678 0.1134 
-10.3544 0.1060 -10.0754 0.1151 
-10.3768 0.1046 -10.0506 0.1166 
-10.4572 0.1008 -10.1424 0.1120 
-10.5196 0.0986 -10.2160 0.1114 
-10.5815 0.0965 -10.2632 0.1114 
-10.6420 0.0944 -10.2892 0.1134 
-10.6965 0.0925 -10.3181 0.1142 
-10.7527 0.0907 -10.3582 0.1123 
-10.8011 0.0893 -10.3838 0.1120 
-10.8446 0.0880 -10.4079 0.1115 
-10.8876 0.0864 -10.4326 0.1114 
-10.9215 0.0844 -10.4648 0.1115 
-10.9520 0.0824 -10.4908 0.1115 
-10.9827 0.0805 -10.5120 0.1115 
-11.0086 0.0789 -10.5308 0.1115 
-11.0361 0.0774 -10.5595 0.1115 
-10.1091 0.1086 -9.8088 0.0684 
-10.0015 0.1082 -9.7747 0.0391 
-9.9448 0.1082 -9.7201 0.0382 
-9.9278 0.1082 -9.6683 0.0526 
-9.9488 0.1081 -9.6724 0.0360 
-9.9688 0.1081 -9.6591 0.0354 
-9.9983 0.1080 -9.6784 0.0370 
-10.0214 0.1079 -9.7261 0.0341 
-10.0385 0.1079 -9.7462 0.0344 
-10.0512 0.1078 -9.7641 0.0365 
-10.0611 0.1077 -9.7508 0.0370 
-10.0594 0.1076 -9.7499 0.0358 
-10.0655 0.1076 -9.7736 0.0349 
-10.0665 0.1076 -9.7739 0.0347 
-10.0631 0.1076 -9.7723 0.0352 
-10.0621 0.1076 -9.7976 0.0345 
-10.0651 0.1076 -9.8039 0.0339 
-10.0686 0.1076 -9.8085 0.0350 
-10.0720 0.1076 -9.8153 0.0365 
-10.0734 0.1075 -9.8436 0.0366 
-10.0873 0.1075 -9.8631 0.0349 
-10.1081 0.1074 -9.8799 0.0331 
-10.1305 0.1072 -9.9067 0.0335 
-10.1510 0.1070 -9.9151 0.0343 
-10.1741 0.1068 -9.9333 0.0334 
-10.1938 0.1066 -9.9492 0.0349 
-10.2127 0.1061 -9.9566 0.0397 
-10.2296 0.1056 -9.9636 0.0396 
-10.2434 0.1051 -9.9607 0.0418 
-10.2578 0.1045 -9.9845 0.0433 
-10.2670 0.1040 -9.9979 0.0433 
-10.2747 0.1034 -9.9939 0.0404 
-10.2828 0.1028 -9.9734 0.0377 
-10.2931 0.1021 -9.9617 0.0374 
-10.3004 0.1014 -9.9579 0.0414 
-10.3104 0.1007 -9.9542 0.0503 
-10.3236 0.1001 -9.9366 0.0493 
-10.3348 0.0994 -9.9466 0.0479 
-10.3887 0.0959 -9.9959 0.0508 
-10.4444 0.0936 -10.0201 0.0369 
-10.4988 0.0915 -10.0405 0.0320 
-10.5545 0.0894 -10.0708 0.0325 
-10.6089 0.0875 -10.0988 0.0321 
-10.6546 0.0850 -10.1312 0.0322 
